Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission
BMW,X5,2010,Universal,150000.0,3000.0,Petrol,Automatic
Renault,Kangoo,2004,Minivan,198500.0,1499.0,Diesel,Manual
Volkswagen,Phaeton,2007,Sedan,240000.0,300.0,Diesel,Automatic
Skoda,Kodiaq,2018,SUV,24000.0,2000.0,Petrol,Automatic
Mercedes,E Class,2014,Sedan,173000.0,2148.0,Diesel,Automatic
Citroen,Saxo,1999,Crossover,55668.0,1100.0,Petrol,Manual
KIA,Sorento,2007,SUV,180000.0,2500.0,Diesel,Automatic
Jaguar,Xf,2011,Sedan,76000.0,3000.0,Diesel,Automatic
Hyundai,Santa FE,2006,Crossover,178659.0,2200.0,Diesel,Automatic
Audi,A6,2006,Universal,380000.0,2792.0,Diesel,Automatic
Renault,Scenic,2012,Universal,161380.0,1500.0,Diesel,Manual
BMW,X5,2015,SUV,190000.0,2500.0,Diesel,Automatic
Mercedes,C Class,1995,Sedan,222222.0,1800.0,Petrol,Manual
Renault,Captur,2016,Crossover,130000.0,1500.0,Diesel,Automatic
Dacia,Lodgy,2012,Universal,166000.0,1461.0,Diesel,Manual
Peugeot,207,2010,Hatchback,161780.0,1400.0,Diesel,Manual
Fiat,500,2017,Hatchback,45984.0,0.0,Electric,Automatic
KIA,Niro,2019,Crossover,51000.0,0.0,Electric,Automatic
Volkswagen,Passat,2015,Sedan,202000.0,1600.0,Diesel,Automatic
Infiniti,QX30,2017,SUV,91000.0,1500.0,Diesel,Automatic
KIA,Ceed,2009,Universal,115000.0,1400.0,Petrol,Manual
Toyota,Land Cruiser,2013,SUV,150000.0,4500.0,Diesel,Automatic
Dacia,Logan,2011,Sedan,500000.0,1200.0,Petrol,Manual
Mazda,3,2007,Hatchback,156000.0,1600.0,Petrol,Automatic
Volkswagen,Bora,2001,Universal,1111.0,1900.0,Diesel,Automatic
Mercedes,B Class,2009,Universal,193000.0,1500.0,Petrol,Manual
Volkswagen,Passat CC,2010,Sedan,153000.0,2000.0,Petrol,Automatic
BMW,i3,2018,Hatchback,56000.0,100.0,Electric,Automatic
Lexus,RX Series,2006,Crossover,246055.0,3300.0,Hybrid,Automatic
Dacia,Logan Mcv,2015,Universal,32000.0,1200.0,Petrol,Manual
Ford,Fusion,2014,Sedan,117000.0,2000.0,Petrol,Automatic
BMW,5 Series,2012,Sedan,215000.0,3000.0,Diesel,Automatic
Toyota,Auris,2007,Hatchback,224000.0,1400.0,Diesel,Automatic
Toyota,Auris,2015,Universal,187922.0,1364.0,Diesel,Manual
Nissan,Qashqai,2014,SUV,98800.0,1500.0,Diesel,Manual
Audi,A6,1997,Sedan,350000.0,2500.0,Diesel,Manual
Toyota,Auris,2012,Hatchback,220001.0,1400.0,Diesel,Manual
Toyota,Prius,2012,Sedan,295000.0,1800.0,Petrol,Automatic
Opel,Corsa,2008,Hatchback,313000.0,1300.0,Diesel,Manual
Toyota,Land Cruiser Prado,2007,SUV,271830.0,4000.0,Metan/Propan,Automatic
Toyota,Camry,2009,Sedan,160000.0,2400.0,Petrol,Automatic
Nissan,Almera,2000,Hatchback,444000.0,2200.0,Diesel,Manual
Volkswagen,Polo,1999,Universal,1111.0,1900.0,Diesel,Manual
Renault,Kadjar,2018,Crossover,57000.0,1500.0,Diesel,Manual
Toyota,Rav 4,2018,Crossover,135000.0,2500.0,Hybrid,Automatic
Chevrolet,Aveo,2012,Sedan,189000.0,1200.0,Metan/Propan,Manual
Toyota,Auris,2011,Hatchback,213000.0,1800.0,Petrol,Automatic
Opel,Astra,2008,Universal,229000.0,1300.0,Diesel,Manual
Renault,Scenic,2011,Universal,205000.0,1398.0,Petrol,Manual
BMW,X5,2002,SUV,229000.0,3000.0,Petrol,Automatic
Jaguar,XJ,2011,Sedan,74000.0,3000.0,Diesel,Automatic
Honda,CR-V,2007,Crossover,187000.0,2200.0,Diesel,Manual
Mercedes,E Class,2012,Sedan,151040.0,1800.0,Petrol,Automatic
Vaz,2105,1987,Sedan,100000.0,1300.0,Petrol,Manual
Dacia,Logan,2006,Sedan,280000.0,1400.0,Metan/Propan,Manual
Hyundai,Santa FE,2019,SUV,5611.0,2000.0,Petrol,Automatic
Toyota,Corolla,2006,Hatchback,260011.0,1400.0,Diesel,Manual
Opel,Zafira,2004,Microvan,350000.0,1600.0,Metan/Propan,Manual
Toyota,Rav 4,2013,SUV,200000.0,2200.0,Diesel,Automatic
Opel,Astra,2011,Universal,170000.0,1400.0,Petrol,Manual
Renault,Clio,1999,Hatchback,200000.0,1900.0,Diesel,Manual
Opel,Antara,2015,Microvan,150200.0,2200.0,Diesel,Automatic
Mercedes,E Class,2012,Sedan,124000.0,2500.0,Petrol,Automatic
BMW,3 Series,2015,Sedan,142000.0,2000.0,Petrol,Automatic
Ford,Sierra,1993,Sedan,3000.0,2000.0,Metan/Propan,Manual
Nissan,Juke,2011,Hatchback,120000.0,1600.0,Petrol,Automatic
BMW,X3,2018,Crossover,100500.0,1998.0,Diesel,Automatic
Volvo,XC90,2005,SUV,190121.0,2500.0,Petrol,Automatic
Ford,Fusion,2016,Sedan,126000.0,2000.0,Plug-in Hybrid,Automatic
Infiniti,Q Series,2016,SUV,105700.0,1500.0,Diesel,Automatic
Vaz,2121niva,1988,SUV,62000.0,1600.0,Petrol,Manual
Nissan,Qashqai,2010,Crossover,200185.0,1500.0,Diesel,Manual
Toyota,Auris,2007,Hatchback,251000.0,1400.0,Diesel,Manual
Renault,Grand Scenic,2007,Microvan,145000.0,1500.0,Diesel,Manual
BMW,7 Series,2016,Sedan,70000.0,2000.0,Diesel,Automatic
Mercedes,Vito,2008,Microvan,266000.0,2200.0,Diesel,Manual
Land Rover,Freelander,2012,Crossover,122000.0,2200.0,Diesel,Automatic
Mercedes,CLS Class,2008,Coupe,173000.0,3200.0,Diesel,Automatic
Volkswagen,Transporter,1991,Universal,200000.0,2000.0,Metan/Propan,Manual
Audi,A6,2016,Universal,237000.0,2000.0,Diesel,Automatic
Renault,Trafic,2003,Microvan,318500.0,1900.0,Diesel,Manual
Renault,Megane,2010,Hatchback,156000.0,1500.0,Diesel,Manual
Seat,Ibiza,2011,Universal,280000.0,1200.0,Diesel,Manual
Volkswagen,Tiguan,2010,SUV,190000.0,2000.0,Diesel,Automatic
Toyota,Avensis,2009,Sedan,240000.0,1995.0,Diesel,Manual
Honda,Civic,2008,Sedan,190000.0,1400.0,Hybrid,Automatic
Honda,CR-V,2014,Crossover,113725.0,1600.0,Diesel,Manual
Audi,A7,2012,Sedan,135000.0,3000.0,Petrol,Automatic
Mercedes,C Class,2004,Sedan,272000.0,2200.0,Diesel,Automatic
Dacia,Duster,2018,SUV,93700.0,1500.0,Diesel,Manual
Volkswagen,Golf,2009,Hatchback,200000.0,200.0,Diesel,Manual
Mercedes,E Class,2002,Sedan,215678.0,2200.0,Diesel,Automatic
Citroen,C3 Picasso,2010,Minivan,158000.0,1400.0,Petrol,Manual
Hyundai,Kona,2019,Hatchback,15000.0,0.0,Electric,Automatic
Volkswagen,Jetta,2011,Sedan,191400.0,1200.0,Petrol,Manual
Mercedes,E Class,2005,Sedan,400000.0,1800.0,Petrol,Manual
Volkswagen,Caddy,2008,Microvan,230000.0,1900.0,Diesel,Manual
Dacia,Duster,2015,Crossover,140000.0,1500.0,Diesel,Manual
Audi,A5,2009,Sedan,150000.0,2000.0,Petrol,Manual
Toyota,Prius,2008,Hatchback,190000.0,1500.0,Petrol,Automatic
Honda,CR-V,2015,Crossover,120000.0,2200.0,Diesel,Automatic
Honda,CR-V,2004,Crossover,225000.0,2000.0,Metan/Propan,Automatic
BMW,X3,2010,Crossover,220000.0,2000.0,Diesel,Automatic
Opel,Meriva,2014,Microvan,162000.0,1245.0,Diesel,Manual
Renault,Megane,2010,Universal,171200.0,1500.0,Diesel,Manual
Honda,Clarity,2018,Sedan,45701.0,1500.0,Plug-in Hybrid,Automatic
KIA,Carnival,2005,Minivan,195000.0,2500.0,Metan/Propan,Automatic
